id,age,education,education_coarse,condition,extr,extr_prctl,extr_type,extr_pro,extr_pro_c,ATI,ATI_prctl,ATI_type,ATI_pro
Ag7v14F_VykfUgAIuViPBaPmcKXb-Dclgwid3ZURTyHLjWg-J2RrSE-sx8gwhCn2,29,Secondary school/GCSE,Secondary school/GCSE or less,control,2.5,0.19266107347647787,intr,0.3073389265235221,0.05733892652352213,4.222222222222222,0.9060031443079403,affine,0.40600314430794027
aGkHqYyR78ZW5IsMfpmhJeZFQNX9-IgTcG7hNmFmIE1mXbuIVIoM31PI25HqhbDL,21,College/A levels,College,inoculation,2.375,0.16547000377783586,intr,0.33452999622216417,0.08452999622216417,3.6666666666666665,0.7487440315963316,affine,0.24874403159633163
Aj9pB5pvFbx6nyTFKx8VMDaK_vmTCWQ-zZTbbCb-cWDa6FTKsdxyWx1UmnS94ONG,22,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,2.25,0.1282229708663177,intr,0.37177702913368227,0.12177702913368227,2.7777777777777777,0.3582841048572582,non-affine,0.1417158951427418
AUMYtDGF7Ay8cJdD0DhKTUD3FCIg5RVL0Bx-Y2yylNUOGaV4gAaAww9qKiDuQy3o,30,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,2.5,0.193062337141907,intr,0.306937662858093,0.056937662858092986,2.6666666666666665,0.3112719958575155,non-affine,0.18872800414248447
B5tnQRe6wAvpndkwajgrecbiwxJz8c6L-89U2rTfl6r-MsOKk845OWBpA5H2JPWR,36,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,1.125,0.010058036239739,intr,0.489941963760261,0.239941963760261,2.4444444444444446,0.22643286628317424,non-affine,0.27356713371682573
b9n4NftyRyosS05_HyqtvK2y1fjVAzPD203a_6evGHZHGZqv3REGECy3qBiqsBnr,30,Graduate degree (MA/MSc/MPhil/other),Graduate/doctorate degree,control,4.25,0.859433530548471,extr,0.35943353054847105,0.10943353054847105,3.7777777777777777,0.7880697379814923,affine,0.28806973798149227
bbC2AaJcB8OD79dinesoYCMqbvGS4r6uct2H3ngc7t1BB9XGYI_MKEhZAYD_RrTP,31,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,3.5,0.5835997148964526,extr,0.08359971489645257,-0.16640028510354743,5,0.9868221564128329,affine,0.4868221564128329
BD8Bva9PsQE8Xdir0eJrNvxXmZn7dWbH4pJOkxpK1exNC_n8COh-3w96RlZTvu6M,27,Graduate degree (MA/MSc/MPhil/other),Graduate/doctorate degree,control,3.625,0.6477009488343807,extr,0.14770094883438067,-0.10229905116561933,3.5555555555555554,0.7058646369425364,affine,0.20586463694253643
bFKA-12wnDFT4jnH9XJ5QVRsXtt_AISjIMplBGItGh4QyT2F4_jS-o900clw-K8a,30,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,2.375,0.15731470622550509,intr,0.3426852937744949,0.09268529377449491,2.3333333333333335,0.18947165205564176,non-affine,0.31052834794435824
bgF6jJYbXWMnVJkR-AI0emyv1thBiy_lbpgDEy8r6dS-kNjsHofUPAeUMD47ACl3,40,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,2.25,0.11904480172175477,intr,0.3809551982782452,0.1309551982782452,2.888888888888889,0.4075506654302435,non-affine,0.09244933456975651
