id,stimuli,dec,conf,dec_fct,stimuli_target,condition,extr,extr_prctl,extr_type,extr_pro,extr_pro_c,ATI,ATI_prctl,ATI_type,ATI_pro,stimuli_is_targeted,stimuli_is_targeted_fct,dec_correct,conf_full_range,conf_in_correct
_KuvPMwtRxK0PrtG50V7jSbBHfELrDo3-JNrdarJOAAhVM1yvGov8H6uLQwqOXT1,6,0,2,0,extr,control,2.25,0.1288449392134522,intr,0.3711550607865478,0.12115506078654781,2.6666666666666665,0.3112719958575155,non-affine,0.18872800414248447,FALSE,0,1,-2,4
_KuvPMwtRxK0PrtG50V7jSbBHfELrDo3-JNrdarJOAAhVM1yvGov8H6uLQwqOXT1,2,0,3,0,extr,control,2.25,0.1288449392134522,intr,0.3711550607865478,0.12115506078654781,2.6666666666666665,0.3112719958575155,non-affine,0.18872800414248447,FALSE,0,1,-3,3
_KuvPMwtRxK0PrtG50V7jSbBHfELrDo3-JNrdarJOAAhVM1yvGov8H6uLQwqOXT1,5,1,3,1,intr,control,2.25,0.1288449392134522,intr,0.3711550607865478,0.12115506078654781,2.6666666666666665,0.3112719958575155,non-affine,0.18872800414248447,TRUE,1,1,3,3
_KuvPMwtRxK0PrtG50V7jSbBHfELrDo3-JNrdarJOAAhVM1yvGov8H6uLQwqOXT1,8,0,2,0,extr,control,2.25,0.1288449392134522,intr,0.3711550607865478,0.12115506078654781,2.6666666666666665,0.3112719958575155,non-affine,0.18872800414248447,FALSE,0,1,-2,4
_KuvPMwtRxK0PrtG50V7jSbBHfELrDo3-JNrdarJOAAhVM1yvGov8H6uLQwqOXT1,7,1,2,1,intr,control,2.25,0.1288449392134522,intr,0.3711550607865478,0.12115506078654781,2.6666666666666665,0.3112719958575155,non-affine,0.18872800414248447,TRUE,1,1,2,2
_KuvPMwtRxK0PrtG50V7jSbBHfELrDo3-JNrdarJOAAhVM1yvGov8H6uLQwqOXT1,1,1,3,1,intr,control,2.25,0.1288449392134522,intr,0.3711550607865478,0.12115506078654781,2.6666666666666665,0.3112719958575155,non-affine,0.18872800414248447,TRUE,1,1,3,3
_KuvPMwtRxK0PrtG50V7jSbBHfELrDo3-JNrdarJOAAhVM1yvGov8H6uLQwqOXT1,9,0,4,0,intr,control,2.25,0.1288449392134522,intr,0.3711550607865478,0.12115506078654781,2.6666666666666665,0.3112719958575155,non-affine,0.18872800414248447,TRUE,1,0,-4,2
_KuvPMwtRxK0PrtG50V7jSbBHfELrDo3-JNrdarJOAAhVM1yvGov8H6uLQwqOXT1,3,0,4,0,intr,control,2.25,0.1288449392134522,intr,0.3711550607865478,0.12115506078654781,2.6666666666666665,0.3112719958575155,non-affine,0.18872800414248447,TRUE,1,0,-4,2
_KuvPMwtRxK0PrtG50V7jSbBHfELrDo3-JNrdarJOAAhVM1yvGov8H6uLQwqOXT1,10,0,4,0,extr,control,2.25,0.1288449392134522,intr,0.3711550607865478,0.12115506078654781,2.6666666666666665,0.3112719958575155,non-affine,0.18872800414248447,FALSE,0,1,-4,2
_KuvPMwtRxK0PrtG50V7jSbBHfELrDo3-JNrdarJOAAhVM1yvGov8H6uLQwqOXT1,4,0,3,0,extr,control,2.25,0.1288449392134522,intr,0.3711550607865478,0.12115506078654781,2.6666666666666665,0.3112719958575155,non-affine,0.18872800414248447,FALSE,0,1,-3,3
